NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
TonB-dependent_receptor,WP_014977470.1,P,Inorganic_ion_transport_and_metabolism,14.0%,5.3%,14.0,5.3,1.4013625623817674
elongation_factor_Tu_(tuf),WP_014977498.1,J,"Translation,_ribosomal_structure_and_biogenesis",5.7%,2.7%,5.7,2.7,1.078002512001273
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.8%,0.6%,2.8,0.6,2.222392421336448
porin_family_protein,WP_014948444.1,Unk,Unk,2.7%,0.4%,2.7,0.4,2.7548875021634687
acyl_carrier_protein_(acpP),WP_012518211.1,I,Lipid_transport_and_metabolism,2.0%,,2.0,,
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,1.9%,0.7%,1.9,0.7,1.4405725913859815
MotA/TolQ/ExbB_proton_channel_family_protein,WP_156078053.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.9%,,1.9,,
DUF839_domain-containing_protein,WP_156078507.1,R,General_function_prediction_only,1.7%,,1.7,,
F0F1_ATP_synthase_subunit_beta_(atpD),WP_014951449.1,C,Energy_production_and_conversion,1.5%,0.7%,1.5,0.7,1.0995356735509143
outer_membrane_channel_protein_TolC_(tolC),WP_156077872.1,M,Cell_wall/membrane/envelope_biogenesis,1.4%,,1.4,,
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",1.4%,0.6%,1.4,0.6,1.222392421336448
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.2%,,1.2,,
succinate--CoA_ligase_subunit_alpha_(sucD),WP_012518366.1,C,Energy_production_and_conversion,1.1%,0.6%,1.1,0.6,0.8744691179161412
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,1.1%,1.7%,1.1,1.7,-0.6280312226130421
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.0%,2.2%,1.0,2.2,-1.137503523749935
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,1.0%,0.5%,1.0,0.5,1.0
elongation_factor_G,WP_014949028.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.0%,0.5%,1.0,0.5,1.0
succinate_dehydrogenase_iron-sulfur_subunit_(sdhB),WP_156078342.1,C,Energy_production_and_conversion,0.8%,0.7%,0.8,0.7,0.1926450779423961
bacterioferritin_(bfr),WP_014949586.1,P,Inorganic_ion_transport_and_metabolism,0.8%,0.9%,0.8,0.9,-0.16992500144231226
thioredoxin_TrxA_(trxA),WP_012517074.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.8%,,0.8,,
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.8%,1.3%,0.8,1.3,-0.7004397181410921
malate_dehydrogenase_(mdh),WP_014950802.1,C,Energy_production_and_conversion,0.8%,0.4%,0.8,0.4,1.0
phosphopyruvate_hydratase,WP_014975823.1,G,Carbohydrate_transport_and_metabolism,0.8%,,0.8,,
outer_membrane_beta-barrel_protein,WP_014947736.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,,0.7,,
glutamate--ammonia_ligase,WP_014950588.1,E,Amino_acid_transport_and_metabolism,0.7%,0.8%,0.7,0.8,-0.19264507794239608
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.6%,0.7,0.6,0.22239242133644802
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.7%,0.7,0.7,0.0
SapC_family_protein,WP_014950439.1,Unk,Unk,0.6%,0.5%,0.6,0.5,0.2630344058337938
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.9%,0.6,0.9,-0.5849625007211563
dihydrolipoyl_dehydrogenase_(lpdA),WP_014950394.1,C,Energy_production_and_conversion,0.6%,1.6%,0.6,1.6,-1.415037499278844
pyruvate_dehydrogenase_complex_dihydrolipoyllysine-residue_acetyltransferase_(aceF),WP_156078728.1,C,Energy_production_and_conversion,0.5%,,0.5,,
chaperonin_GroEL_(groL),WP_014951270.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,
NADP-dependent_isocitrate_dehydrogenase,WP_069944212.1,C,Energy_production_and_conversion,0.5%,0.9%,0.5,0.9,-0.84799690655495
TIGR04219_family_outer_membrane_beta-barrel_protein,WP_014950720.1,Unk,Unk,0.5%,,0.5,,
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.5%,0.5,0.5,0.0
30S_ribosomal_protein_S13_(rpsM),WP_012519216.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.8%,0.5,0.8,-0.6780719051126377
inorganic_diphosphatase,WP_014947861.1,C,Energy_production_and_conversion,0.5%,0.4%,0.5,0.4,0.32192809488736235
