NCBI_PGAP_function,NCBI_PGAP_accession,COG20_CATEGORY_accession,COG20_CATEGORY_function,Prop. Abund. MVs,Prop. Abund. Cells,prop_abund_mvs_percent,prop_abund_cells_percent,log2_mv_cell_enrichment
elongation_factor_Tu,WP_148275229.1,J,"Translation,_ribosomal_structure_and_biogenesis",16.3%,7.7%,16.3,7.7,1.0819416135361763
TonB-dependent_receptor,WP_014950805.1,P,Inorganic_ion_transport_and_metabolism,9.9%,1.6%,9.9,1.6,2.6293566200796095
DUF3450_domain-containing_protein,WP_014948702.1,Unk,Unk,2.1%,0.6%,2.1,0.6,1.8073549220576044
acyl_carrier_protein_(acpP),WP_012518211.1,I,Lipid_transport_and_metabolism,2.0%,,2.0,,
ADP-forming_succinate--CoA_ligase_subunit_beta_(sucC),WP_014949450.1,C,Energy_production_and_conversion,1.6%,1.0%,1.6,1.0,0.6780719051126377
DNA-binding_protein_HU-beta_(hupB),WP_012518978.1,L,"Replication,_recombination_and_repair",1.6%,0.8%,1.6,0.8,1.0
DUF839_domain-containing_protein,WP_014949867.1,R,General_function_prediction_only,1.6%,,1.6,,
F0F1_ATP_synthase_subunit_beta_(atpD),WP_014951449.1,C,Energy_production_and_conversion,1.4%,1.1%,1.4,1.1,0.3479233034203066
MotA/TolQ/ExbB_proton_channel_family_protein,WP_014948703.1,U,"Intracellular_trafficking,_secretion,_and_vesicular_transport",1.2%,1.3%,1.2,1.3,-0.11547721741993608
malate_dehydrogenase_(mdh),WP_014950802.1,C,Energy_production_and_conversion,1.2%,0.7%,1.2,0.7,0.7776075786635522
TonB-dependent_receptor_plug_domain-containing_protein,WP_014948286.1,P!!!P,Inorganic_ion_transport_and_metabolism!!!Inorganic_ion_transport_and_metabolism,1.2%,,1.2,,
50S_ribosomal_protein_L7/L12_(rplL),WP_015068303.1,J,"Translation,_ribosomal_structure_and_biogenesis",1.1%,,1.1,,
succinate_dehydrogenase_iron-sulfur_subunit,WP_012518362.1,C,Energy_production_and_conversion,1.1%,0.6%,1.1,0.6,0.8744691179161412
thioredoxin_TrxA_(trxA),WP_012517074.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",1.0%,,1.0,,
F0F1_ATP_synthase_subunit_alpha_(atpA),WP_014951450.1,C,Energy_production_and_conversion,1.0%,0.9%,1.0,0.9,0.15200309344505006
50S_ribosomal_protein_L5_(rplE),WP_014950911.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.9%,2.3%,0.9,2.3,-1.3536369546147005
phasin_family_protein,WP_014949994.1,Unk,Unk,0.7%,,0.7,,
elongation_factor_G,WP_014949028.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.7%,0.8%,0.7,0.8,-0.19264507794239608
succinate--CoA_ligase_subunit_alpha_(sucD),WP_012518366.1,C,Energy_production_and_conversion,0.7%,0.4%,0.7,0.4,0.807354922057604
OmpA_family_protein,WP_014951106.1,M,Cell_wall/membrane/envelope_biogenesis,0.7%,1.1%,0.7,1.1,-0.6520766965796935
NADP-dependent_isocitrate_dehydrogenase,WP_014949329.1,C,Energy_production_and_conversion,0.7%,0.9%,0.7,0.9,-0.3625700793847084
phosphopyruvate_hydratase_(eno),WP_014948502.1,G,Carbohydrate_transport_and_metabolism,0.6%,,0.6,,
30S_ribosomal_protein_S3_(rpsC),WP_014947978.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.6%,0.7%,0.6,0.7,-0.22239242133644782
flagellin,WP_014948605.1,N,Cell_motility,0.6%,,0.6,,
outer_membrane_channel_protein_TolC_(tolC),WP_014948205.1,M,Cell_wall/membrane/envelope_biogenesis,0.5%,,0.5,,
superoxide_dismutase_[Fe]_(sodB),WP_014948764.1,P,Inorganic_ion_transport_and_metabolism,0.5%,0.6%,0.5,0.6,-0.2630344058337938
elongation_factor_Ts_(tsf),WP_014948553.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,,0.5,,
SapC_family_protein,WP_014950439.1,Unk,Unk,0.5%,0.4%,0.5,0.4,0.32192809488736235
inorganic_diphosphatase_(ppa),WP_014947861.1,C,Energy_production_and_conversion,0.5%,,0.5,,
phosphoenolpyruvate_synthase_(ppsA),WP_014949316.1,G,Carbohydrate_transport_and_metabolism,0.5%,0.4%,0.5,0.4,0.32192809488736235
50S_ribosomal_protein_L28_(rpmB),WP_014947757.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.5%,0.8%,0.5,0.8,-0.6780719051126377
chaperonin_GroEL_(groL),WP_014951270.1,O,"Posttranslational_modification,_protein_turnover,_chaperones",0.5%,,0.5,,
30S_ribosomal_protein_S17_(rpsQ),WP_014947981.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.7%,0.4,0.7,-0.807354922057604
polysaccharide_export_protein,WP_014950246.1,M,Cell_wall/membrane/envelope_biogenesis,0.4%,,0.4,,
nucleoside-diphosphate_kinase_(ndk),WP_012519000.1,F,Nucleotide_transport_and_metabolism,0.4%,,0.4,,
30S_ribosomal_protein_S18_(rpsR),WP_012519954.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.4%,0.4,0.4,0.0
30S_ribosomal_protein_S1_(rpsA),WP_014949642.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.9%,0.4,0.9,-1.1699250014423124
adenylate_kinase_(adk),WP_014950043.1,F,Nucleotide_transport_and_metabolism,0.4%,,0.4,,
50S_ribosomal_protein_L10_(rplJ),WP_014951041.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,1.0%,0.4,1.0,-1.3219280948873622
dihydrolipoyl_dehydrogenase_(lpdA),WP_014950394.1,C,Energy_production_and_conversion,0.4%,0.5%,0.4,0.5,-0.3219280948873623
30S_ribosomal_protein_S2_(rpsB),WP_014948552.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.9%,0.4,0.9,-1.1699250014423124
glutamate--ammonia_ligase_(glnA),WP_014950588.1,E,Amino_acid_transport_and_metabolism,0.4%,0.7%,0.4,0.7,-0.807354922057604
polyribonucleotide_nucleotidyltransferase_(pnp),WP_039229711.1,J,"Translation,_ribosomal_structure_and_biogenesis",0.4%,0.6%,0.4,0.6,-0.5849625007211561
nucleotide_sugar_dehydrogenase,WP_014950856.1,M,Cell_wall/membrane/envelope_biogenesis,0.4%,,0.4,,
