rast_fig_id,locus_tag
fig|226.6.peg.10,MIT1002_04001
fig|226.6.peg.100,MIT1002_03915
fig|226.6.peg.1000,MIT1002_00013
fig|226.6.peg.1001,MIT1002_00012
fig|226.6.peg.1002,MIT1002_00011
fig|226.6.peg.1003,MIT1002_00010
fig|226.6.peg.1004,MIT1002_00009
fig|226.6.peg.1005,MIT1002_00008
fig|226.6.peg.1006,MIT1002_00007
fig|226.6.peg.1007,MIT1002_00006
fig|226.6.peg.1009,MIT1002_00005
fig|226.6.peg.101,MIT1002_03914
fig|226.6.peg.1010,MIT1002_00004
fig|226.6.peg.1011,MIT1002_00003
fig|226.6.peg.1013,MIT1002_00002
fig|226.6.peg.1014,MIT1002_00001
fig|226.6.peg.1015,ALT831_RS20330
fig|226.6.peg.1016,MIT1002_04133
fig|226.6.peg.1017,MIT1002_04132
fig|226.6.peg.1018,MIT1002_04130
fig|226.6.peg.1019,MIT1002_04129
fig|226.6.peg.102,MIT1002_03913
fig|226.6.peg.1020,MIT1002_04128
fig|226.6.peg.1021,MIT1002_04127
fig|226.6.peg.1022,MIT1002_04126
fig|226.6.peg.1023,MIT1002_04125
fig|226.6.peg.1024,MIT1002_04124
fig|226.6.peg.1025,MIT1002_04123
fig|226.6.peg.1026,MIT1002_04122
fig|226.6.peg.1027,MIT1002_04121
fig|226.6.peg.1028,MIT1002_04120
fig|226.6.peg.1029,MIT1002_04119
fig|226.6.peg.1030,MIT1002_04118
fig|226.6.peg.1031,MIT1002_04117
fig|226.6.peg.1032,MIT1002_04116
fig|226.6.peg.1033,MIT1002_04115
fig|226.6.peg.1034,MIT1002_04114
fig|226.6.peg.1035,MIT1002_04113
fig|226.6.peg.1036,MIT1002_04112
fig|226.6.peg.1037,MIT1002_04111
fig|226.6.peg.1038,MIT1002_04110
fig|226.6.peg.1039,MIT1002_04109
fig|226.6.peg.104,MIT1002_03912
fig|226.6.peg.1040,MIT1002_04108
fig|226.6.peg.1041,MIT1002_04107
fig|226.6.peg.1042,MIT1002_04106
fig|226.6.peg.1043,MIT1002_04105
fig|226.6.peg.1044,MIT1002_04104
fig|226.6.peg.1045,MIT1002_04103
fig|226.6.peg.1046,MIT1002_04102
fig|226.6.peg.1047,MIT1002_04101
fig|226.6.peg.1048,MIT1002_04100
fig|226.6.peg.1049,MIT1002_04099
fig|226.6.peg.105,MIT1002_03911
fig|226.6.peg.1050,MIT1002_04098
fig|226.6.peg.1051,MIT1002_04097
fig|226.6.peg.1052,MIT1002_04096
fig|226.6.peg.1053,MIT1002_04094
fig|226.6.peg.1054,MIT1002_04093
fig|226.6.peg.1055,MIT1002_04092
fig|226.6.peg.1056,MIT1002_04091
fig|226.6.peg.1057,MIT1002_04090
fig|226.6.peg.1058,MIT1002_04089
fig|226.6.peg.1059,MIT1002_04088
fig|226.6.peg.106,MIT1002_03910
fig|226.6.peg.1060,MIT1002_04087
fig|226.6.peg.1061,MIT1002_04086
fig|226.6.peg.1063,MIT1002_04084
fig|226.6.peg.1064,MIT1002_04082
fig|226.6.peg.1066,MIT1002_04081
fig|226.6.peg.1067,MIT1002_04080
fig|226.6.peg.1069,MIT1002_04077
fig|226.6.peg.107,MIT1002_03909
fig|226.6.peg.1070,MIT1002_04075
fig|226.6.peg.1071,MIT1002_04074
fig|226.6.peg.1072,MIT1002_04073
fig|226.6.peg.1073,MIT1002_04072
fig|226.6.peg.1074,MIT1002_04071
fig|226.6.peg.1075,MIT1002_04070
fig|226.6.peg.1076,MIT1002_04069
fig|226.6.peg.1077,MIT1002_04068
fig|226.6.peg.1078,MIT1002_04067
fig|226.6.peg.1079,MIT1002_04066
fig|226.6.peg.108,MIT1002_03908
fig|226.6.peg.1080,MIT1002_04065
fig|226.6.peg.1081,MIT1002_04064
fig|226.6.peg.1082,MIT1002_04063
fig|226.6.peg.1083,MIT1002_04062
fig|226.6.peg.1084,MIT1002_04061
fig|226.6.peg.1085,MIT1002_04060
fig|226.6.peg.1087,MIT1002_04059
fig|226.6.peg.1089,MIT1002_04058
fig|226.6.peg.109,MIT1002_03907
fig|226.6.peg.1090,MIT1002_04057
fig|226.6.peg.1091,MIT1002_04056
