gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanoak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description
dnaN,dnaN,PMT9312_RS00005,PMT9312_0001,Protein Homology,205.0,1362.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806737.1,DNA polymerase III subunit beta,WP_011375566.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,PMT9312_0001,205.0,1362.0,+,CK_Pro_MIT9312_00001,dnaN,"GO:0006260,GO:0034061,GO:0003677,GO:0003887,GO:0008408,GO:0009360",CK_00000364,F.1,DNA replication%2C recombination%2C and repair,"COG0592,bactNOG00989,cyaNOG01040","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",2.7.7.7,DNA-directed DNA polymerase%3B DNA polymerase I%3B DNA polymerase II%3B DNA polymerase III%3B DNA polymerase alpha%3B DNA polymerase beta%3B DNA polymerase gamma%3B DNA nucleotidyltransferase (DNA-directed)%3B deoxyribonucleate nucleotidyltransferase%3B deoxynucleate polymerase%3B deoxyribonucleic acid duplicase%3B deoxyribonucleic acid polymerase%3B deoxyribonucleic duplicase%3B deoxyribonucleic polymerase%3B deoxyribonucleic polymerase I%3B DNA duplicase%3B DNA nucleotidyltransferase%3B DNA polymerase%3B DNA replicase%3B DNA-dependent DNA polymerase%3B duplicase%3B Klenow fragment%3B sequenase%3B Taq DNA polymerase%3B Taq Pol I%3B Tca DNA polymerase,"DNA replication,DNA replication,DNA polymerase activity,DNA binding,DNA-directed DNA polymerase activity,3'-5' exonuclease activity,DNA replication,DNA polymerase activity,DNA binding,DNA-directed DNA polymerase activity,3'-5' exonuclease activity,DNA polymerase III complex",DNA polymerase III%2C beta subunit,"TIGR00663,PF00712,PF02768,PF02767,IPR022634,IPR022635,IPR022637,IPR001001","DNA polymerase III%2C beta subunit,DNA polymerase III beta subunit%2C N-terminal domain,DNA polymerase III beta subunit%2C C-terminal domain,DNA polymerase III beta subunit%2C central domain,DNA polymerase III%2C beta sliding clamp%2C N-terminal,DNA polymerase III%2C beta sliding clamp%2C C-terminal,DNA polymerase III%2C beta sliding clamp%2C central,DNA polymerase III%2C beta sliding clamp",132,DNA metabolism / DNA replication%2C recombination%2C and repair
PMT9312_RS00010,,PMT9312_RS00010,PMT9312_0002,Protein Homology,1364.0,2068.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817479.1,hypothetical protein,WP_011375567.1,,,,,PMT9312_0002,1364.0,2068.0,+,CK_Pro_MIT9312_00002,,,CK_00000363,R.2,Conserved hypothetical proteins,"COG0243,NOG45784,NOG237203,bactNOG55577,bactNOG31844,cyaNOG05837,cyaNOG03657","COG: METABOLISM [C] Energy production and conversion,COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved
purL,purL,PMT9312_RS00015,PMT9312_0003,Protein Homology,2072.0,4411.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375568.1,phosphoribosylformylglycinamidine synthase subunit PurL,WP_011375568.1,"GO:0006189,GO:0004642",,phosphoribosylformylglycinamidine synthase activity|0004642||IEA,'de novo' IMP biosynthetic process|0006189||IEA,PMT9312_0003,2072.0,4411.0,+,CK_Pro_MIT9312_00003,purL,"GO:0009152,GO:0006541,GO:0006189,GO:0006164,GO:0004642",CK_00000362,M.3,Purine ribonucleotide biosynthesis,"COG0046,bactNOG00968,cyaNOG01049","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",6.3.5.3,phosphoribosylformylglycinamidine synthase%3B phosphoribosylformylglycinamidine synthetase%3B formylglycinamide ribonucleotide amidotransferase%3B phosphoribosylformylglycineamidine synthetase%3B FGAM synthetase%3B FGAR amidotransferase%3B 5'-phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)%3B 2-N-formyl-1-N-(5-phospho-D-ribosyl)glycinamide:L-glutamine amido-ligase (ADP-forming),"purine ribonucleotide biosynthetic process,glutamine metabolic process,'de novo' IMP biosynthetic process,purine nucleotide biosynthetic process,purine ribonucleotide biosynthetic process,glutamine metabolic process,'de novo' IMP biosynthetic process,purine nucleotide biosynthetic process,phosphoribosylformylglycinamidine synthase activity",phosphoribosylformylglycinamidine synthase%2C synthetase domain,"TIGR01736,PF02769,PF00586,IPR010918,IPR000728,IPR010074","phosphoribosylformylglycinamidine synthase II,AIR synthase related protein%2C C-terminal domain,AIR synthase related protein%2C N-terminal domain,PurM-like%2C C-terminal domain,Description not found.,Phosphoribosylformylglycinamidine subunit PurL",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis
purF,purF,PMT9312_RS00020,PMT9312_0004,Protein Homology,4459.0,5919.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011817481.1,amidophosphoribosyltransferase,WP_011375569.1,"GO:0009113,GO:0004044",,amidophosphoribosyltransferase activity|0004044||IEA,purine nucleobase biosynthetic process|0009113||IEA,PMT9312_0004,4459.0,5919.0,+,CK_Pro_MIT9312_00004,purF,"GO:0009113,GO:0006189,GO:0009116,GO:0006541,GO:0004044,GO:0016757,GO:0005829",CK_00000361,M.3,Purine ribonucleotide biosynthesis,"COG0034,bactNOG03208,cyaNOG00619","COG: METABOLISM [F] Nucleotide transport and metabolism,bactNOG: METABOLISM [F] Nucleotide transport and metabolism,cyaNOG: METABOLISM [F] Nucleotide transport and metabolism",2.4.2.14,amidophosphoribosyltransferase%3B phosphoribosyldiphosphate 5-amidotransferase%3B glutamine phosphoribosyldiphosphate amidotransferase%3B alpha-5-phosphoribosyl-1-pyrophosphate amidotransferase%3B 5'-phosphoribosylpyrophosphate amidotransferase%3B 5-phosphoribosyl-1-pyrophosphate amidotransferase%3B 5-phosphororibosyl-1-pyrophosphate amidotransferase%3B glutamine 5-phosphoribosylpyrophosphate amidotransferase%3B glutamine ribosylpyrophosphate 5-phosphate amidotransferase%3B phosphoribose pyrophosphate amidotransferase%3B phosphoribosyl pyrophosphate amidotransferase%3B phosphoribosylpyrophosphate glutamyl amidotransferase%3B 5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating),"purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,amidophosphoribosyltransferase activity,transferase activity%2C transferring glycosyl groups,purine nucleobase biosynthetic process,'de novo' IMP biosynthetic process,nucleoside metabolic process,glutamine metabolic process,amidophosphoribosyltransferase activity,transferase activity%2C transferring glycosyl groups,cytosol",amidophosphoribosyltransferase,"TIGR01134,PF13522,PF00156,PS51278,IPR005854,IPR017932,IPR000836","amidophosphoribosyltransferase,Glutamine amidotransferase domain,Phosphoribosyl transferase domain,Glutamine amidotransferase type 2 domain profile.,Amidophosphoribosyltransferase,Glutamine amidotransferase type 2 domain,Phosphoribosyltransferase domain",125,Purines%2C pyrimidines%2C nucleosides%2C and nucleotides / Purine ribonucleotide biosynthesis
PMT9312_RS00025,,PMT9312_RS00025,PMT9312_0005,Protein Homology,5916.0,8357.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375570.1,DNA gyrase/topoisomerase IV subunit A,WP_011375570.1,,,,,PMT9312_0005,5916.0,8357.0,-,CK_Pro_MIT9312_00005,,"GO:0006265,GO:0003677,GO:0003916,GO:0005524,GO:0003918,GO:0005694",CK_00008107,F.1,DNA replication%2C recombination%2C and repair,"COG0188,bactNOG02571,cyaNOG00631","COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,cyaNOG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair",,,"DNA topological change,DNA topological change,DNA binding,DNA topoisomerase activity,ATP binding,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,DNA topological change,DNA binding,DNA topoisomerase activity,ATP binding,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity,chromosome",DNA gyrase/topoisomerase IV%2C subunit A family protein,"PF03989,PF00521,IPR006691,IPR002205","DNA gyrase C-terminal domain%2C beta-propeller,DNA gyrase/topoisomerase IV%2C subunit A,DNA gyrase/topoisomerase IV%2C subunit A%2C C-terminal repeat,DNA topoisomerase%2C type IIA%2C subunit A/C-terminal",132,DNA metabolism / DNA replication%2C recombination%2C and repair
PMT9312_RS00030,,PMT9312_RS00030,PMT9312_0006,Protein Homology,8435.0,9298.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012006810.1,tetratricopeptide repeat protein,WP_011375571.1,GO:0005515,,protein binding|0005515||IEA,,PMT9312_0006,8435.0,9298.0,-,CK_Pro_MIT9312_00006,,GO:0005515,CK_00000360,,,"COG0457,COG4783,bactNOG76554,bactNOG08761,bactNOG55327,cyaNOG00333","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,protein binding,tetratricopeptide repeat family protein,"PF13414,PF00515,PS50005,PS50293,IPR019734,IPR001440,IPR013026","TPR repeat,Tetratricopeptide repeat,TPR repeat profile.,TPR repeat region circular profile.,Tetratricopeptide repeat,Tetratricopeptide repeat 1,Tetratricopeptide repeat-containing domain",157,Unknown function / General
queG,queG,PMT9312_RS00035,PMT9312_0007,Protein Homology,9303.0,10247.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375572.1,tRNA epoxyqueuosine(34) reductase QueG,WP_011375572.1,"GO:0008033,GO:0008616,GO:0051539,GO:0052693",,"4 iron%2C 4 sulfur cluster binding|0051539||IEA,epoxyqueuosine reductase activity|0052693||IEA","tRNA processing|0008033||IEA,queuosine biosynthetic process|0008616||IEA",PMT9312_0007,9303.0,10247.0,-,CK_Pro_MIT9312_00007,queG,"GO:0008616,GO:0008033,GO:0008616,GO:0051539,GO:0016491,GO:0051536",CK_00000359,K.3,tRNA and rRNA base modification,"COG1600,bactNOG03610,cyaNOG01006","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",1.17.99.6,epoxyqueuosine reductase%3B oQ reductase%3B queG (gene name)%3B queH (gene name),"queuosine biosynthetic process,tRNA processing,queuosine biosynthetic process,queuosine biosynthetic process,tRNA processing,queuosine biosynthetic process,4 iron%2C 4 sulfur cluster binding,oxidoreductase activity,iron-sulfur cluster binding",epoxyqueuosine reductase,"TIGR00276,PF13484,PF08331,PS00198,PS51379,IPR004453,IPR017900,IPR013542,IPR017896","epoxyqueuosine reductase,4Fe-4S double cluster binding domain,Domain of unknown function (DUF1730),4Fe-4S ferredoxin-type iron-sulfur binding region signature.,4Fe-4S ferredoxin-type iron-sulfur binding domain profile.,Epoxyqueuosine reductase QueG,4Fe-4S ferredoxin%2C iron-sulphur binding%2C conserved site,Domain of unknown function DUF1730,4Fe-4S ferredoxin-type%2C iron-sulphur binding domain",168,Protein synthesis / tRNA and rRNA base modification
PMT9312_RS00040,,PMT9312_RS00040,PMT9312_0008,Protein Homology,10395.0,11129.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806657.1,DUF502 domain-containing protein,WP_011375573.1,,,,,PMT9312_0008,10395.0,11129.0,+,CK_Pro_MIT9312_00008,,GO:0016020,CK_00000358,R.2,Conserved hypothetical proteins,"COG2928,bactNOG10288,bactNOG40793,cyaNOG00102","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,membrane,uncharacterized conserved membrane protein (DUF502),"PF04367,IPR007462","Protein of unknown function (DUF502),Protein of unknown function DUF502",156,Hypothetical proteins / Conserved
nusB,nusB,PMT9312_RS00045,PMT9312_0009,Protein Homology,11133.0,11759.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375574.1,transcription antitermination factor NusB,WP_011375574.1,GO:0006353,,,DNA-templated transcription termination|0006353||IEA,PMT9312_0009,11133.0,11759.0,+,CK_Pro_MIT9312_00009,nusB,"GO:0006351,GO:0006353,GO:0006355,GO:0005515,GO:0003723,GO:0005737,GO:0005829",CK_00000357,P,Transcription,"COG0781,COG1318,bactNOG98581,bactNOG89653,bactNOG99065,bactNOG89531,bactNOG100385,cyaNOG02614","COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,protein binding,RNA binding,transcription%2C DNA-templated,DNA-templated transcription%2C termination,regulation of transcription%2C DNA-templated,protein binding,RNA binding,cytoplasm,cytosol",transcription antitermination protein NusB,"TIGR01951,PF01029,IPR006027,IPR011605","transcription antitermination factor NusB,NusB family,NusB/RsmB/TIM44,NusB antitermination factor",133,Transcription / Other
ftsY,ftsY,PMT9312_RS00050,PMT9312_0010,Protein Homology,11818.0,13110.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011375575.1,signal recognition particle-docking protein FtsY,WP_011375575.1,"GO:0006614,GO:0009306,GO:0003924,GO:0005047",,"GTPase activity|0003924||IEA,signal recognition particle binding|0005047||IEA","SRP-dependent cotranslational protein targeting to membrane|0006614||IEA,protein secretion|0009306||IEA",PMT9312_0010,11818.0,13110.0,+,CK_Pro_MIT9312_00010,ftsY,"GO:0009306,GO:0006614,GO:0006184,GO:0003924,GO:0005047,GO:0005525",CK_00000356,L.1,Protein and peptide secretion and trafficking,"COG0552,bactNOG01692,cyaNOG00560","COG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,bactNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport,cyaNOG: CELLULAR PROCESSES AND SIGNALING [U] Intracellular trafficking%2C secretion%2C and vesicular transport",,,"protein secretion,SRP-dependent cotranslational protein targeting to membrane,obsolete GTP catabolic process,protein secretion,SRP-dependent cotranslational protein targeting to membrane,obsolete GTP catabolic process,GTPase activity,signal recognition particle binding,GTP binding",signal recognition particle-docking protein FtsY,"TIGR00064,PF00448,PF02881,PS00300,IPR000897,IPR013822,IPR004390","signal recognition particle-docking protein FtsY,SRP54-type protein%2C GTPase domain,SRP54-type protein%2C helical bundle domain,SRP54-type proteins GTP-binding domain signature.,Signal recognition particle%2C SRP54 subunit%2C GTPase domain,Signal recognition particle SRP54%2C helical bundle,Signal-recognition particle receptor FtsY",97,Protein fate / Protein and peptide secretion and trafficking
