Protein,Gene,ORF,# peptides,Control MEAN,deplete MEAN,deplete SD,Ratio of means,log2_fold_change,resolved_locus_tag,resolution_method
50S ribosomal protein L5,rplE,PMT9312_1638,2,0.998270393,0.90844055,0.122123945,0.910014518,-0.1360385332248983,PMT9312_1638,locus_tag:ORF
DNA-directed RNA polymerase subunit alpha,rpoA,PMT9312_1628,2,1.393287569,1.859297735,0.760436175,1.334468042,0.4162647560604832,PMT9312_1628,locus_tag:ORF
Peptidylprolyl isomerase precursor,PPIase,PMT9312_1389,2,1.090449184,1.483780468,0.257079442,1.360705744,0.4443551141816749,PMT9312_1389,locus_tag:ORF
Thioredoxin,trx,PMT9312_1072,2,1.090113142,1.125294341,0.402322447,1.032272979,0.0458245341065859,PMT9312_1072,locus_tag:ORF
Ferritin,Ferritin,PMT9312_0812,2,1.366645791,1.821030623,0.900711345,1.332481785,0.4141158115061895,PMT9312_0812,locus_tag:ORF
Geranylgeranyl reductase precursor,(grp),PMT9312_0768,2,1.275704896,0.650031742,0.204666235,0.509547109,-0.9727125612953688,PMT9312_0768,locus_tag:ORF
Porin precursor-like,phoE,PMT9312_0721,2,0.8953723,14.19888162,2.215354287,15.85807559,3.987145802548806,PMT9312_0721,locus_tag:ORF
Cysteine synthase A (O-acetylserine(thiol) - lyase A),cysK1-like,PMT9312_0402,2,1.081457306,1.013933809,0.261051215,0.937562494,-0.0930132371605681,PMT9312_0402,locus_tag:ORF
Phosphoglycerate kinase,pgk,PMT9312_0197,2,0.931371167,1.093234586,0.428959397,1.173790455,0.2311748816039472,PMT9312_0197,locus_tag:ORF
Photosystem I iron-sulfur center,psaC,PMT9312_1700,3,1.104545107,1.257896125,0.119788009,1.138836356,0.187560455256116,PMT9312_1700,locus_tag:ORF
"Nitrogen regulatory protein P-II (GlnB, GlnK)",glnK,PMT9312_1556,3,1.298180389,1.20818024,0.545990134,0.930672077,-0.1036551722412326,PMT9312_1556,locus_tag:ORF
ATP-dependent metalloprotease FtsH,ftsH,PMT9312_1358,3,0.980895545,0.797701485,0.170579452,0.813237953,-0.2982505490023119,PMT9312_1358,locus_tag:ORF
O-acetylhomoserine/O-acetylserine sulfhydrylase,cysD,PMT9312_0642,3,1.007981303,1.199418457,0.177567144,1.189921335,0.2508662009645848,PMT9312_0642,locus_tag:ORF
Light-harvesting complex protein,pcb,PMT9312_0627,3,1.05827464,1.098590974,0.442718486,1.038096287,0.0539402648276664,PMT9312_0627,locus_tag:ORF
Photosystem II PsbB protein (CP47),psbB,PMT9312_0321,3,1.4256642,1.689536688,0.607026595,1.185087406,0.2449934688723749,PMT9312_0321,locus_tag:ORF
RNA binding ribosomal protein S1,S1,PMT9312_0318,3,0.800312028,0.860132085,0.336744799,1.074745917,0.1039956294791202,PMT9312_0318,locus_tag:ORF
Putative sulfate transporter,Strans,PMT9312_0216,3,1.289401808,1.8595666,0.42079605,1.442193263,0.5282645077750334,PMT9312_0216,locus_tag:ORF
