NATL2A Quantitation data,,,,,,,
Protein,Gene,ORF,# peptides,Control Mean,Deplete Mean,SD,Ratio of means
Uroporphyrinogen decarboxylase,hemE,PMN2A_0019,2,0.727146035,0.650673083,0.116395846,0.325336541
Elongation factor Ts,tsf,PMN2A_0158,2,0.781624387,0.721878626,0.110593393,0.360939313
"Molecular chaperone, DnaK",dnaK,PMN2A_0312,2,1.141880529,1.09831168,0.090800952,0.54915584
Hypothetical protein,,PMN2A_0327,2,1.546872746,2.515461963,0.066110382,1.257730982
Recombinase A,recA,PMN2A_1133,2,1.005542198,1.021809888,0.125839403,0.510904944
Permease of the major facilitator superfamily,,PMN2A_1303,2,1.223820385,1.297467201,0.63269231,0.6487336
Membrane protein,,PMN2A_1452,2,1.151217181,0.960804191,0.436086007,0.480402095
"Regulatory protein, LuxR:Response regulator receiver",luxR,PMN2A_1537,2,0.737301512,0.67101399,0.243279402,0.335506995
Glutamyl-tRNA synthetase,gltX,PMN2A_1806,2,0.979636021,0.73814051,0.079771966,0.369070255
Ferritin family protein,,PMN2A_0212,3,0.925622912,0.974045827,0.051139031,0.324681942
Protein family PM-3,,PMN2A_0470,3,1.101678437,0.921164288,0.181126068,0.307054763
DNA-directed RNA polymerase subunit beta,rpoB,PMN2A_1016,3,0.895875029,0.996198896,0.44325348,0.332066299
DNA-directed RNA polymerase subunit alpha,rpoA,PMN2A_1106,3,1.012124171,0.882116767,0.005943935,0.294038922
"Trk-type K+ transport system, membrane component precursor",,PMN2A_1448,3,0.996156214,1.081316488,0.084039236,0.360438829
Queuine tRNA-ribosyltransferase (tRNA-guanine transglycosylase) (Guanine insertion enzyme),,PMN2A_1637,3,0.907693298,0.975143282,0.033671062,0.325047761
Ribulose-phosphate 3-epimerase,rpe,PMN2A_0172,4,0.882459973,1.022948628,0.107580567,0.255737157
Protein family PM-2,,PMN2A_0632,4,1.001678866,1.344379883,0.394700791,0.336094971
Phosphatidate cytidylyltransferase precursor,,PMN2A_0664,4,1.136526879,1.000538501,0.191573646,0.250134625
Short-chain dehydrogenase/reductase (SDR) superfamily,,PMN2A_0729,4,1.144719074,0.899982564,0.175112611,0.224995641
ATP synthase gamma chain,atpG,PMN2A_0980,4,0.940436082,1.020850654,0.142637206,0.255212663
Fumarase,,PMN2A_0997,4,1.048966624,2.015723551,0.486697539,0.503930888
Precorrin-3B C17-methyltransferase region,cobJ,PMN2A_1081,4,0.895162591,0.508555032,0.06789817,0.127138758
Chaperone protein dnaK,dnaK,PMN2A_1313,4,1.071505022,0.999973493,0.224128362,0.249993373
30S ribosomal protein S6,rpsF,PMN2A_1316,4,1.426070251,2.396690096,0.166993544,0.599172524
"Glyceraldehyde-3-phosphate dehydrogenase, type I",gap1,PMN2A_1350,4,1.248987959,0.808536431,0.060173483,0.202134108
groEL protein 2,groL2,PMN2A_1783,4,0.897711778,0.950655921,0.10569519,0.23766398
Inorganic diphosphatase,ppa,PMN2A_1827,4,0.841621844,1.040640914,0.243954,0.260160229
Glycerol dehydrogenase family enzyme,,PMN2A_0661,5,0.831044109,0.521632114,0.127697071,0.104326423
Polyribonucleotide nucleotidyltransferase,pnp,PMN2A_0810,5,0.997795327,0.830896672,0.181990877,0.166179334
Putative nickel-containing superoxide dismutase (NISOD),,PMN2A_0861,5,0.551841153,0.500046134,0.121931337,0.100009227
Periplasmic phosphate binding protein precursor,,PMN2A_0441,6,0.776793356,2.048352294,1.887442483,0.341392049
Elongation factor G,fusA,PMN2A_1075,6,1.107554667,0.930676245,0.085347131,0.155112707
Bacterial transketolase,,PMN2A_1187,6,1.144092778,1.158748245,0.08401223,0.193124708
50S ribosomal protein L11,rplK,PMN2A_1571,6,0.998425791,1.225991562,0.135888225,0.204331927
Photosystem II protein Psb27 precursor,psb27,PMN2A_1840,6,1.010739173,1.063421201,0.02365266,0.177236867
"Ribulose bisphosphate carboxylase, small chain",rbcS,PMN2A_1880,6,0.837553323,0.55497903,0.091154173,0.092496505
DNA repair protein RadA,radA,PMN2A_1499,7,0.955328073,0.666710075,0.141428718,0.095244296
Cysteine synthase K/M:Cysteine synthase A,,PMN2A_1741,7,0.917994464,0.778562792,0.042699371,0.111223256
Glucose-1-phosphate adenylyltransferase (ADP-glucose synthase) (ADP-glucose pyrophosphorylase),glgC,PMN2A_0175,9,0.793988605,0.902304819,0.091064796,0.100256091
Nucleoside diphosphate kinase,ndk,PMN2A_1379,9,0.810960757,0.921536148,0.16172043,0.102392905
Glutamine synthetase type I,,PMN2A_0141,11,1.002678876,1.77663865,0.270966413,0.161512605
groEL protein 1,groEL1,PMN2A_0968,11,1.003433997,1.028821793,0.133036751,0.093529254
Nitrogen regulatory protein P-II,glnK,PMN2A_0993,11,0.918730167,1.129865982,0.156252755,0.102715089
Acyl carrier protein,acpP,PMN2A_1185,11,1.335933108,3.054105365,0.488231622,0.277645942
"D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase",PNPase,PMN2A_0173,12,1.020540666,1.013386574,0.074410163,0.084448881
Fructose-bisphosphate aldolase,,PMN2A_0188,12,1.137282702,1.081217874,0.092161146,0.090101489
Thioredoxin peroxidase,,PMN2A_0352,12,1.000308398,1.220451525,0.132421569,0.101704294
Hypothetical protein,,PMN2A_0736,12,1.173120213,1.210841343,0.141039496,0.100903445
groES protein,groES,PMN2A_0969,15,1.101340067,1.095746054,0.066898534,0.073049737
ATP synthase subunit beta,atpB,PMN2A_0970,17,1.067804846,0.838552999,0.12697232,0.049326647
Histone-like bacterial DNA-binding protein,,PMN2A_0892,18,0.833546304,0.685021075,0.084875576,0.038056726
50S ribosomal protein L7/L12,rplL,PMN2A_1568,21,1.018683656,0.984323838,0.092018822,0.046872564
Secreted pentapeptide repeats protein precursor,,PMN2A_0921,22,0.867564705,0.803424547,0.040298624,0.036519298
Photosystem II manganese-stabilizing protein PsbO precursor,psbO,PMN2A_1597,22,1.236092515,1.012557504,0.180212172,0.046025341
Hypothetical protein,,PMN2A_2181,22,1.046059098,0.948686266,0.094306593,0.043122103
Elongation factor Tu,tuf,PMN2A_1074,23,1.054450036,0.919804051,0.128798148,0.03999148
Magnesium chelatase ATPase subunit D,,PMN2A_1654,23,1.015319182,0.880309649,0.077622261,0.038274333
Thioredoxin,,PMN2A_0691,25,1.105896619,1.260481773,0.062168319,0.050419271
AbrB family transciptional regulator,,PMN2A_0411,26,1.18368082,1.019295659,0.140630558,0.039203679
ATP synthase subunit alpha,atpA,PMN2A_0981,27,0.976093912,0.884622583,0.060982615,0.032763799
Carboxysome shell protein CsoS1,csoS1,PMN2A_1878,43,0.93668707,1.272513596,0.194540269,0.029593339
"Flavodoxin, long chain",,PMN2A_0794,44,0.962768066,1.178735276,0.168141476,0.026789438
Ribulose bisphosphate carboxylase large chain,rbcL,PMN2A_1879,46,0.934277321,1.287658023,0.118031579,0.027992566
