gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
dnaN,dnaN,SYNPCC7942_RS00005,Synpcc7942_0001,Protein Homology,110,1237,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_010871501.1,DNA polymerase III subunit beta,WP_070105208.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,Synpcc7942_0001,2.7.7.7
SYNPCC7942_RS00010,,SYNPCC7942_RS00010,Synpcc7942_0002,Protein Homology,1268,2134,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243805.1,RNA metabolism,WP_199290672.1,,,,,,Synpcc7942_0002,
purL,purL,SYNPCC7942_RS00015,Synpcc7942_0003,Protein Homology,2178,4511,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243804.1,phosphoribosylformylglycinamidine synthase subunit PurL,WP_011243804.1,"GO:0006189,GO:0004642",,phosphoribosylformylglycinamidine synthase activity|0004642||IEA,'de novo' IMP biosynthetic process|0006189||IEA,,Synpcc7942_0003,6.3.5.3
purF,purF,SYNPCC7942_RS00020,Synpcc7942_0004,Protein Homology,4596,6077,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243803.1,amidophosphoribosyltransferase,WP_011243803.1,"GO:0009113,GO:0004044",,amidophosphoribosyltransferase activity|0004044||IEA,purine nucleobase biosynthetic process|0009113||IEA,,Synpcc7942_0004,2.4.2.14
SYNPCC7942_RS00025,,SYNPCC7942_RS00025,Synpcc7942_0005,Protein Homology,6111,7706,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243802.1,permease,WP_011377397.1,,,,,,Synpcc7942_0005,
SYNPCC7942_RS00030,,SYNPCC7942_RS00030,Synpcc7942_0006,Protein Homology,7779,8192,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243801.1,hypothetical protein,WP_011243801.1,,,,,,Synpcc7942_0006,
SYNPCC7942_RS00035,,SYNPCC7942_RS00035,Synpcc7942_0007,Protein Homology,8189,8539,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377398.1,YtxH domain-containing protein,WP_011377398.1,,,,,,Synpcc7942_0007,
SYNPCC7942_RS00040,,SYNPCC7942_RS00040,Synpcc7942_0008,GeneMarkS-2+,8536,8946,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_231621372.1,,,,,,Synpcc7942_0008,
SYNPCC7942_RS00045,,SYNPCC7942_RS00045,Synpcc7942_0009,Protein Homology,8964,10166,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243798.1,argininosuccinate synthase,WP_011243798.1,"GO:0006526,GO:0004055,GO:0005524",,"argininosuccinate synthase activity|0004055||IEA,ATP binding|0005524||IEA",L-arginine biosynthetic process|0006526||IEA,,Synpcc7942_0009,6.3.4.5
SYNPCC7942_RS00050,,SYNPCC7942_RS00050,Synpcc7942_0010,Protein Homology,10252,10872,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011243797.1,DedA family protein,WP_231621371.1,GO:0016020,membrane|0016020||IEA,,,,Synpcc7942_0010,
SYNPCC7942_RS00055,,SYNPCC7942_RS00055,Synpcc7942_0011,Protein Homology,10998,11489,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377400.1,hypothetical protein,WP_126147300.1,,,,,,Synpcc7942_0011,
rpsF,rpsF,SYNPCC7942_RS00060,Synpcc7942_0012,Protein Homology,11641,11964,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377401.1,30S ribosomal protein S6,WP_011377401.1,"GO:0006412,GO:0003735,GO:0000314,GO:0022627","organellar small ribosomal subunit|0000314||IEA,cytosolic small ribosomal subunit|0022627||IEA",structural constituent of ribosome|0003735||IEA,translation|0006412||IEA,,Synpcc7942_0012,
