refseq_locus,log2fc_14h,padj_14h,log2fc_16h,padj_16h,resolved_locus_tag,resolution_method
TX50_RS00020,0.363731025249097,0.782937987698132,1.12944600247297,2.30278948374865e-10,PMM0001,tier1:refseq_locus
TX50_RS00025,-0.222892317626189,0.88031377318013,0.602287887549338,0.0180252876374647,PMM0002,tier1:refseq_locus
TX50_RS00030,-0.542703522527898,0.396640868885006,-0.592829832755364,3.76530322204362e-05,PMM0003,tier1:refseq_locus
TX50_RS00035,-0.718241066879512,0.265254015768864,-1.25803084207179,1.6787923840401502e-17,PMM0004,tier1:refseq_locus
TX50_RS00040,0.176093076663737,0.801083027984515,-0.362882429082254,0.0246852982504036,PMM0005,tier1:refseq_locus
TX50_RS00045,-0.521565835355431,0.474927467571707,-0.629037752192352,0.0014520693330979,PMM0006,tier1:refseq_locus
TX50_RS00050,-0.460927342677009,0.516040293071149,-0.850095736872156,9.1696469151217e-06,PMM0007,tier1:refseq_locus
TX50_RS00055,1.02005259711334,0.354074605408075,1.18680083140516,1.3525879673975e-12,PMM0008,tier1:refseq_locus
TX50_RS00060,-0.0385252058398341,0.975865097312837,-0.612163708251936,0.0573471159307383,PMM0009,tier1:refseq_locus
TX50_RS00065,-0.0314960537320207,0.968817859753973,0.168840607218,0.407114724774512,PMM0010,tier1:refseq_locus
TX50_RS00070,-0.325429584140237,0.705281443929889,0.42456529663529,0.0606595909116749,PMM0011,tier1:refseq_locus
TX50_RS00075,-0.427434482393502,0.46590849877782,-0.309343018512999,0.111227848292368,PMM0012,tier1:refseq_locus
TX50_RS00080,-0.223943305984674,0.789875903190853,0.130721009275879,0.438955543272559,PMM0013,tier1:refseq_locus
TX50_RS00085,-0.811440242171254,0.195235992258807,-0.274687508810151,0.120647772898905,PMM0014,tier1:refseq_locus
TX50_RS00090,-0.823071468606895,0.45356444067479,-2.24286634109089,4.19151498166292e-33,PMM0015,tier1:refseq_locus
TX50_RS00095,1.46293725301948,0.0275613878403872,-0.214417348182163,0.284820215852472,PMM0016,tier1:refseq_locus
