seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_018679.1,dnaA,dnaA,AMBAS45_RS00005,AMBAS45_00005,Protein Homology,710,2365,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975239.1,chromosomal replication initiator protein DnaA,WP_014977846.1,"GO:0006270,GO:0006275,GO:0003677,GO:0003688,GO:0005524",,"DNA binding|0003677||IEA,DNA replication origin binding|0003688||IEA,ATP binding|0005524||IEA","DNA replication initiation|0006270||IEA,regulation of DNA replication|0006275||IEA",,AMBAS45_00005,
NC_018679.1,dnaN,dnaN,AMBAS45_RS00010,AMBAS45_00010,Protein Homology,2398,3498,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516526.1,DNA polymerase III subunit beta,WP_012516526.1,"GO:0006260,GO:0003677,GO:0003887,GO:0009360",DNA polymerase III complex|0009360||IEA,"DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA",DNA replication|0006260||IEA,,AMBAS45_00010,2.7.7.7
NC_018679.1,recF,recF,AMBAS45_RS00015,AMBAS45_00015,Protein Homology,3624,4712,+,All proteins in this family for which functions are known are DNA-binding proteins that assist the filamentation of RecA onto DNA for the initiation of recombination or recombinational repair.,,COORDINATES: similar to AA sequence:RefSeq:WP_014975241.1,DNA replication/repair protein RecF,WP_014977847.1,"GO:0006260,GO:0006281,GO:0006310,GO:0009432,GO:0003697,GO:0005524",,"single-stranded DNA binding|0003697||IEA,ATP binding|0005524||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA,DNA recombination|0006310||IEA,SOS response|0009432||IEA",,AMBAS45_00015,
NC_018679.1,gyrB,gyrB,AMBAS45_RS00020,AMBAS45_00020,Protein Homology,4721,7141,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065835.1,DNA topoisomerase (ATP-hydrolyzing) subunit B,WP_014977848.1,"GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694",chromosome|0005694||IEA,"DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA",DNA topological change|0006265||IEA,,AMBAS45_00020,5.6.2.2
NC_018679.1,ltrA,ltrA,AMBAS45_RS00030,AMBAS45_00035,Protein Homology,7922,9193,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012516968.1,group II intron reverse transcriptase/maturase,WP_014977851.1,"GO:0000373,GO:0003964",,RNA-directed DNA polymerase activity|0003964||IEA,Group II intron splicing|0000373||IEA,,AMBAS45_00035,2.7.7.49
NC_018679.1,AMBAS45_RS00035,,AMBAS45_RS00035,AMBAS45_00040,Protein Homology,9401,9844,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_015065836.1,hypothetical protein,WP_041449894.1,,,,,,AMBAS45_00040,
NC_018679.1,glyS,glyS,AMBAS45_RS00040,AMBAS45_00045,Protein Homology,9929,12007,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014975245.1,glycine--tRNA ligase subunit beta,WP_014977853.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,AMBAS45_00045,6.1.1.14
NC_018679.1,glyQ,glyQ,AMBAS45_RS00045,AMBAS45_00050,Protein Homology,12010,12915,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_008305116.1,glycine--tRNA ligase subunit alpha,WP_014947716.1,"GO:0006426,GO:0000166,GO:0004820,GO:0005524,GO:0005737",cytoplasm|0005737||IEA,"nucleotide binding|0000166||IEA,glycine-tRNA ligase activity|0004820||IEA,ATP binding|0005524||IEA",glycyl-tRNA aminoacylation|0006426||IEA,,AMBAS45_00050,6.1.1.14
NC_018679.1,AMBAS45_RS00050,,AMBAS45_RS00050,AMBAS45_00055,Protein Homology,13062,13670,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014947717.1,DNA-3-methyladenine glycosylase I,WP_014977854.1,"GO:0006284,GO:0008725",,DNA-3-methyladenine glycosylase activity|0008725||IEA,base-excision repair|0006284||IEA,,AMBAS45_00055,3.2.2.20
NC_018679.1,AMBAS45_RS00055,,AMBAS45_RS00055,AMBAS45_00060,Protein Homology,13783,14244,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014977855.1,DUF2489 domain-containing protein,WP_014977855.1,,,,,,AMBAS45_00060,
