Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,MIT9313 LL Vesicles Trypsin/Lys-C (COMETb) Number specs adjusted (Abacus 9313 Vesicle) (9313LL!COMETb),MIT9313 LL Vesicles Trypsin/Lys-C (COMETb) Number of specs adjusted normalized to Hi3 (Abacus 9313 Vesicle) (9313LL!COMETb),MIT9313 LL Vesicles Trypsin/Lys-C (COMETb) Normalized specs adjusted.per.vesicle (Abacus 9313 Vesicle) (9313LL!COMETb),MIT9313 LL Vesicles Trypsin/Lys-C (COMETb) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9313 Vesicle) (9313LL!COMETb),MIT9313 LL Cells Trypsin/Lys-C (COMETb) Avg Number specs adjusted (Abacus 9313cells trypsin) (9313LL!COMETb),MIT9313 LL Cells Trypsin/Lys-C (COMETb) Avg Number specs adjusted normalized to Hi3 (Abacus 9313cells trypsin) (9313LL!COMETb),MIT9313 LL Cells Trypsin/Lys-C (COMETb) Normalized specs adjusted.per.cell (Abacus 9313cells trypsin) (9313LL!COMETb),MIT9313 LL Cells Trypsin/Lys-C (COMETb) Normalized specs adjusted.per.cell.biovolume (Abacus 9313cells trypsin) (9313LL!COMETb),MIT9313 LL Cells Glu-C (COMETb) Avg Number specs adjusted (Abacus 9313cells gluc) (9313LL!COMETb),MIT9313 LL Cells Glu-C (COMETb) Avg Number specs adjusted normalized to Hi3 (Abacus 9313cells gluc) (9313LL!COMETb),MIT9313 LL Cells Glu-C (COMETb) Normalized specs adjusted.per.cell (Abacus 9313cells gluc) (9313LL!COMETb),MIT9313 LL Cells Glu-C (COMETb) Normalized specs adjusted.per.cell.biovolume (Abacus 9313cells gluc) (9313LL!COMETb)
iRT-InternalStandard,Biognosys,Biognosys iRT-Kit_WR_fusion,InternalStandard,InternalStandard,InternalStandard,InternalStandard,InternalStandard,134,95,1.34,1.14E-11,2.18E-08,42.33,2.27,2.10E-08,9.50E-08,65,1.49,1.38E-08,6.24E-08
Hi3-InternalStandard,P63284,CLPB_ECOLI Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1,InternalStandard,InternalStandard,InternalStandard,InternalStandard,InternalStandard,857,71,1,8.55E-12,1.63E-08,18.67,1,9.26E-09,4.19E-08,43.67,1,9.26E-09,4.19E-08
PMT_0922,Q7V737,Q7V737_PROMM ProcA4.4 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0922 PE=4 SV=1,,,,,Unknown,103,10,0.14,1.20E-12,2.30E-09,61.33,3.29,3.04E-08,1.38E-07,31,0.71,6.57E-09,2.97E-08
PMT_2121,Q7V448,Q7V448_PROMM ProcA2.9 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2121 PE=4 SV=1,,,,,Unknown,83,3,0.04,3.61E-13,6.89E-10,75.33,4.04,3.74E-08,1.69E-07,10,0.23,2.12E-09,9.59E-09
PMT_2134,Q7TUK2,Q7TUK2_PROMM ProcA2.1 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2134 PE=4 SV=1,,,,,Unknown,93,2,0.03,2.41E-13,4.59E-10,32.67,1.75,1.62E-08,7.33E-08,20,0.46,4.24E-09,1.92E-08
PMT_0927,Q7V734,Q7V734_PROMM ProcA4.2 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0927 PE=4 SV=1,,,,,Unknown,80,2,0.03,2.41E-13,4.59E-10,24.67,1.32,1.22E-08,5.54E-08,9.67,0.22,2.05E-09,9.27E-09
PMT_2132,Q7V438,Q7V438_PROMM ProcA2.2 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2132 PE=4 SV=1,,,,,Unknown,85,2,0.03,2.41E-13,4.59E-10,13.67,0.73,6.78E-09,3.07E-08,4.33,0.1,9.19E-10,4.16E-09
PMT_2120,Q7V449,Q7V449_PROMM ProcA2.10 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2120 PE=4 SV=1,,,,,Unknown,85,3,0.04,3.61E-13,6.89E-10,12,0.64,5.95E-09,2.69E-08,19.67,0.45,4.17E-09,1.89E-08
PMT_0926,Q7V735,Q7V735_PROMM ProcA4.3 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0926 PE=4 SV=1,,,,,Unknown,77,2,0.03,2.41E-13,4.59E-10,12,0.64,5.95E-09,2.69E-08,4.33,0.1,9.19E-10,4.16E-09
PMT_0832,Q7V7B7,Q7V7B7_PROMM ProcA3.3 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0832 PE=4 SV=1,,,,,Unknown,87,1,0.01,1.20E-13,2.30E-10,9.67,0.52,4.79E-09,2.17E-08,23.67,0.54,5.02E-09,2.27E-08
PMT_0241,Q7V8T7,Q7V8T7_PROMM ProcA1.6 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0241 PE=4 SV=1,,,,,Unknown,91,1,0.01,1.20E-13,2.30E-10,3.67,0.2,1.82E-09,8.23E-09,,,,
PMT_0838,Q7V7B2,Q7V7B2_PROMM ProcA3.5 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0838 PE=4 SV=1,,,,,Unknown,103,,,,,30,1.61,1.49E-08,6.73E-08,19,0.44,4.03E-09,1.82E-08
PMT_0239,Q7TV59,Q7TV59_PROMM ProcA1.7 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0239 PE=4 SV=1,,,,,Unknown,98,,,,,17.33,0.93,8.60E-09,3.89E-08,25.67,0.59,5.44E-09,2.46E-08
PMT_0245,Q7V8T3,Q7V8T3_PROMM ProcA1.2 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0245 PE=4 SV=1,,,,,Unknown,95,,,,,16.67,0.89,8.27E-09,3.74E-08,7.33,0.17,1.55E-09,7.04E-09
PMT_0829,Q7V7C0,Q7V7C0_PROMM ProcA3.2 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0829 PE=4 SV=1,,,,,Unknown,92,,,,,14.67,0.79,7.28E-09,3.29E-08,21,0.48,4.45E-09,2.01E-08
PMT_0247,Q7V8T1,Q7V8T1_PROMM ProcA1.1 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0247 PE=4 SV=1,,,,,Unknown,90,,,,,7.67,0.41,3.80E-09,1.72E-08,6.67,0.15,1.41E-09,6.40E-09
PMT_2129,Q7V441,Q7V441_PROMM ProcA2.5 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2129 PE=4 SV=1,,,,,Unknown,96,,,,,4,0.21,1.98E-09,8.98E-09,9.33,0.21,1.98E-09,8.96E-09
PMT_2122,Q7V447,Q7V447_PROMM ProcA2.8 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2122 PE=4 SV=1,,,,,Unknown,83,,,,,3,0.16,1.49E-09,6.73E-09,,,,
PMT_0244,Q7V8T4,Q7V8T4_PROMM ProcA1.3 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0244 PE=4 SV=1,,,,,Unknown,87,,,,,3,0.16,1.49E-09,6.73E-09,5.67,0.13,1.20E-09,5.44E-09
PMT_2131,Q7V439,Q7V439_PROMM ProcA2.3 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2131 PE=4 SV=1,,,,,Unknown,89,,,,,2.67,0.14,1.32E-09,5.99E-09,,,,
PMT_2123,Q7V446,Q7V446_PROMM ProcA2.7 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2123 PE=4 SV=1,,,,,Unknown,79,,,,,2,0.11,9.92E-10,4.49E-09,,,,
PMT_2119,Q7V450,Q7V450_PROMM ProcA2.11 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2119 PE=4 SV=1,,,,,Unknown,84,,,,,1.67,0.09,8.27E-10,3.74E-09,38,0.87,8.06E-09,3.65E-08
PMT_2124,Q7V445,Q7V445_PROMM ProcA2.6 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2124 PE=4 SV=1,,,,,Unknown,83,,,,,,,,,4.67,0.11,9.90E-10,4.48E-09
PMT_1610,Q7V5F2,Q7V5F2_PROMM ProcAs.1 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1610 PE=4 SV=1,,,,,Unknown,108,,,,,,,,,8.33,0.19,1.77E-09,8.00E-09
PMT_0242,Q7V8T6,Q7V8T6_PROMM ProcA1.5 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0242 PE=4 SV=1,,,,,Unknown,87,,,,,,,,,6,0.14,1.27E-09,5.76E-09
