Gene Number,Protein ID,Protein Description,COG Category,eggNOG HMM Description,Goterms,Kegg Ko,Localization,Protein Length,Biller et al. 2014 Science paper Table S2 MED4 vesicle detected proteins,Blast % Identity Uniprot,NCBI reference sequence,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Did we detect the same vesicle proteins as in Table S2 from homologus MED4 Biller et al. Science 2014,MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number specs adjusted (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Number of specs adjusted normalized to Hi3 (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle (Abacus 9312 Vesicle),MIT9312 HL Vesicles Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.vesicle.biovolume (Abacus 9312 Vesicle),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells trypsin),MIT9312 HL Cells Trypsin/Lys-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells trypsin),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Avg Number specs adjusted normalized to Hi3 (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell (Abacus 9312cells gluc),MIT9312 HL Cells Glu-C (COMETa) Normalized specs adjusted.per.cell.biovolume (Abacus 9312cells gluc)
PMT9312_1131,Q31AA5,Q31AA5_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1131 PE=3 SV=1,S,,,,Extracellular,371,,,,,2131,25.99,1.46E-10,2.79E-07,586.67,12.05,1.15E-07,5.19E-07,1070.33,16.06,1.53E-07,6.92E-07
PMT9312_1515,Q318X0,Q318X0_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1515 PE=3 SV=1,M,Carbohydrate-selective porin OprB,,,CytoplasmicMembrane,384,,,,,1303,15.89,8.93E-11,1.70E-07,124,2.55,2.43E-08,1.10E-07,11.33,0.17,1.62E-09,7.33E-09
rplB,Q318I7,RL2_PROM9 50S ribosomal protein L2 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplB PE=3 SV=1,J,"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity",,K02886,Cytoplasmic,287,,,,,1002,12.22,6.86E-11,1.31E-07,140.33,2.88,2.75E-08,1.24E-07,43,0.65,6.14E-09,2.78E-08
PMT9312_0032,Q31DF2,Q31DF2_PROM9 Type II secretion system protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0032 PE=4 SV=1,S,Type ii secretion system,,,Unknown,136,,,,,561,6.84,3.84E-11,7.33E-08,20,0.41,3.91E-09,1.77E-08,3.33,0.05,4.76E-10,2.15E-09
rplF,Q318J8,RL6_PROM9 50S ribosomal protein L6 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplF PE=3 SV=1,J,"This protein binds to the 23S rRNA, and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk, and near the tRNA binding site of the peptidyltransferase center (By similarity)",,K02933,Cytoplasmic,179,,,,,499,6.09,3.42E-11,6.52E-08,75.33,1.55,1.47E-08,6.67E-08,45.67,0.69,6.52E-09,2.95E-08
PMT9312_0552,Q31BY2,Q31BY2_PROM9 Carboxysome shell protein CsoS2 OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0552 PE=4 SV=1,S,Carboxysome,,,Unknown,766,,,,,483,5.89,3.31E-11,6.32E-08,160,3.29,3.13E-08,1.42E-07,33.67,0.51,4.81E-09,2.18E-08
PMT9312_1512,Q318X3,Q318X3_PROM9 Cyanobacterial porin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1512 PE=4 SV=1,S,,,,Extracellular,431,,,,,466,5.68,3.19E-11,6.09E-08,20.67,0.42,4.04E-09,1.83E-08,4.67,0.07,6.67E-10,3.02E-09
rplS,Q31C59,RL19_PROM9 50S ribosomal protein L19 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplS PE=3 SV=2,J,This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity),,K02884,Cytoplasmic,126,,,,,361,4.4,2.47E-11,4.72E-08,56,1.15,1.10E-08,4.96E-08,13,0.2,1.86E-09,8.40E-09
PMT9312_0858,Q31B27,Q31B27_PROM9 cAMP phosphodiesterases class-II-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0858 PE=4 SV=1,S,cAMP phosphodiesterases class-II,,,Unknown,125,,,,,349,4.26,2.39E-11,4.56E-08,49,1.01,9.59E-09,4.34E-08,43,0.65,6.14E-09,2.78E-08
PMT9312_1436,Q319E9,Q319E9_PROM9 Outer envelope membrane protein-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1436 PE=4 SV=1,M,Outer envelope membrane,,K07277,OuterMembrane,712,gi|33861894|ref|NP_893455.1| chloroplast outer envelope membrane protein,73.5,WP_011132972.1,Yes,331,4.04,2.27E-11,4.33E-08,64.67,1.33,1.27E-08,5.73E-08,10.33,0.16,1.48E-09,6.68E-09
